run,layer_number,layer_code,wire,value,local_median,robust_z,reason
22139,1,11,1,1.954870398,2.154164828,-8.95567835929789,outlier
22146,1,11,1,1.968013874,2.16206294,-8.71996784364807,outlier
22157,1,11,1,1.985560129,2.16206294,-7.931493142221527,outlier
22177,1,11,1,2.026199766,2.165470488,-6.258397643623021,outlier
22185,1,11,1,1.897498203,2.155713475,-11.603399670982379,outlier
22189,1,11,1,2.036446833,2.164923391,-5.773341132301996,outlier
22192,1,11,1,2.002655623,2.164923391,-7.291814117881624,outlier
22217,1,11,1,1.93940372,2.147694273,-9.359936441516654,outlier
22258,1,11,1,2.055991001,2.206872306,-6.780141512289755,outlier
22297,1,11,1,1.966197259,2.228717222,-11.79683923691588,outlier
22309,1,11,1,2.022927989,2.188336992,-7.432971551689336,outlier
22352,1,11,1,2.160639455,2.277722552,-5.261354058126345,outlier
22368,1,11,1,2.124467771,2.258681812,-6.031165961324756,outlier
22380,1,11,1,2.094461984,2.302253232,-9.337499211418509,outlier
22385,1,11,1,2.850379248,2.258126593,26.614011669168175,outlier
22389,1,11,1,2.534639661,2.19259621,15.370380055580421,outlier
22390,1,11,1,2.699580188,2.149875839,24.70202173914865,outlier
22417,1,11,1,1.942511278,2.117863144,-7.879773215933359,outlier
22427,1,11,1,2.03215372,2.149993813,-5.295371128725224,outlier
22491,1,11,1,2.035590386,2.154128279,-5.326728113258709,outlier
22496,1,11,1,1.975038697,2.154128279,-8.047734670221871,outlier
22498,1,11,1,0.776216491,2.154128279,-61.919115254817044,outlier
22509,1,11,1,2.059790085,2.171866875,-5.03638602836304,outlier
22541,1,11,1,4.831407154,2.211291283,117.7399438848725,outlier
22542,1,11,1,4.879236475,2.211291283,119.8892463767666,outlier
22543,1,11,1,4.730340157,2.211291283,113.19830407149625,outlier
22545,1,11,1,4.520686092,2.211291283,103.77709559688243,outlier
22546,1,11,1,4.501323481,2.211291283,102.9069994466177,outlier
22547,1,11,1,1.924923914,2.16789002,-10.918149079967158,outlier
22567,1,11,1,2.03913129,2.188217647,-6.699482073088859,outlier
22574,1,11,1,2.069222054,2.183326302,-5.127493751418756,outlier
22588,1,11,1,2.064719338,2.18894274,-5.582217390670477,outlier
22595,1,11,1,2.007807966,2.203160732,-8.778552109535555,outlier
22614,1,11,1,2.036291754,2.170985765,-6.052734336026017,outlier
22633,1,11,1,2.010837855,2.153735664,-6.421387771110227,outlier
22651,1,11,1,1.962876435,2.139676128,-7.944834105652682,outlier
22665,1,11,1,1.936210868,2.086010244,-6.731522952646136,outlier
22668,1,11,1,1.967771983,2.086010244,-5.3132635732906195,outlier
22678,1,11,1,1.967586095,2.128057693,-7.211099765761407,outlier
22693,1,11,1,2.183928413,2.047844068,6.115211667258982,outlier
22712,1,11,1,0.169385035,0.427438077,-11.596109554042181,low/dead
22713,1,11,1,0.172335671,0.387143673,-9.652810542248567,low/dead
22727,1,11,1,0.20992328,0.387143673,-7.963739068956259,low/dead
22732,1,11,1,0.427438077,0.387143673,1.8107065104810331,low/dead
22734,1,11,1,0.387046109,0.387143673,-0.0043842259086041184,low/dead
22735,1,11,1,0.387143673,0.387143673,0.0,low/dead
22736,1,11,1,0.385974802,0.427438077,-1.8632319760422686,low/dead
22915,1,11,1,0.239186291,0.62063569,-17.141162087628278,low/dead
22916,1,11,1,0.431230949,0.620724754,-8.515268433039076,low/dead
22944,1,11,1,0.33955606,0.560235544,-9.916656873951899,low/dead
22945,1,11,1,0.338668361,0.560235544,-9.956547335134736,low/dead
22946,1,11,1,0.340399794,0.560235544,-9.878742064567595,low/dead
22947,1,11,1,0.344163181,0.560235544,-9.7096270345411,low/dead
22982,1,11,1,0.379393797,0.379393797,0.0,low/dead
22983,1,11,1,0.3478859,0.358966284,-0.4979183572842985,low/dead
22984,1,11,1,0.358966284,0.3478859,0.4979183572842985,low/dead
22985,1,11,1,0.344480293,0.3478859,-0.15303749788779203,low/dead
22990,1,11,1,0.325042342,0.3478859,-1.0265191958950717,low/dead
22991,1,11,1,0.319837978,0.3478859,-1.260387297721644,low/dead
22992,1,11,1,0.31972822,0.3478859,-1.2653194844634408,low/dead
22994,1,11,1,0.316741121,0.358966284,-1.8974688780661166,low/dead
23002,1,11,1,0.668145823,0.487959431,8.097021936209494,outlier
